GQ Electronics LLC, GMC Data Viewer,Version 2.71
Date Time,Type,uSv/h,CPM,#1(CPS),#2(CPS),#3(CPS),#4(CPS),#5(CPS),#6(CPS),#7(CPS),#8(CPS),#9(CPS),#10(CPS),#11(CPS),#12(CPS),#13(CPS),#14(CPS),#15(CPS),#16(CPS),#17(CPS),#18(CPS),#19(CPS),#20(CPS),#21(CPS),#22(CPS),#23(CPS),#24(CPS),#25(CPS),#26(CPS),#27(CPS),#28(CPS),#29(CPS),#30(CPS),#31(CPS),#32(CPS),#33(CPS),#34(CPS),#35(CPS),#36(CPS),#37(CPS),#38(CPS),#39(CPS),#40(CPS),#41(CPS),#42(CPS),#43(CPS),#44(CPS),#45(CPS),#46(CPS),#47(CPS),#48(CPS),#49(CPS),#50(CPS),#51(CPS),#52(CPS),#53(CPS),#54(CPS),#55(CPS),#56(CPS),#57(CPS),#58(CPS),#59(CPS),#60(CPS),

2024-10-25 03:02,Every Second,0.208,32,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,1,1,1,0,1,1,0,1,0,3,2,1,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,
2024-10-25 03:03,Every Second,0.176,27,0,1,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,1,0,0,0,1,1,1,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,
2024-10-25 03:04,Every Second,0.065,10,2,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,
2024-10-25 03:05,Every Second,8.112,1248,1,0,2,0,0,2,1,0,1,1,1,0,0,1,1,0,0,0,0,2,0,1,2,1,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,20,64,96,204,207,199,205,223,
2024-10-25 03:06,Every Second,240.800,12040,199,212,199,200,202,198,195,222,185,205,216,216,226,196,232,199,189,193,214,203,182,198,210,180,238,185,197,218,207,181,187,199,185,198,190,210,192,198,200,210,189,186,185,201,200,198,223,204,175,203,222,203,211,209,210,205,179,179,199,193,
2024-10-25 03:07,Every Second,239.080,11954,190,195,211,213,204,186,223,194,182,204,236,161,195,202,205,190,212,218,212,179,174,196,200,214,187,196,174,213,196,202,197,189,193,185,172,196,209,190,223,177,197,204,196,188,198,206,231,218,180,224,204,200,179,211,206,239,184,187,214,193,
2024-10-25 03:08,Every Second,242.380,12119,205,177,205,201,198,208,188,209,210,205,178,218,203,206,198,207,216,205,209,204,225,225,203,200,201,197,200,182,174,210,210,223,216,213,177,220,216,206,179,207,210,206,194,205,203,188,197,208,190,183,202,197,205,197,186,206,201,202,197,208,
2024-10-25 03:09,Every Second,237.680,11884,198,197,190,219,205,188,197,192,218,205,196,183,174,197,233,220,177,192,197,214,188,204,168,197,213,228,191,186,213,197,172,200,213,204,194,195,195,224,210,221,210,215,200,194,182,177,184,198,187,205,186,189,208,184,206,192,185,178,202,197,
2024-10-25 03:10,Every Second,240.860,12043,212,216,186,239,209,203,169,194,181,220,210,206,194,206,218,190,200,189,200,176,206,193,219,192,205,209,206,202,226,215,198,219,206,176,178,214,192,198,235,196,185,207,194,190,200,204,188,184,174,210,213,205,187,198,204,191,200,205,199,202,
2024-10-25 03:11,Every Second,241.200,12060,203,201,214,200,196,207,211,205,211,185,210,187,231,190,191,229,204,194,205,182,212,198,206,198,199,211,184,201,201,202,183,193,212,192,193,197,192,199,227,191,197,191,232,192,213,187,217,177,193,196,217,215,180,200,171,231,196,183,227,198,
2024-10-25 03:12,Every Second,237.980,11899,221,203,203,200,204,176,201,220,205,210,170,192,204,210,200,188,199,193,190,200,207,202,213,204,180,193,207,208,195,202,203,183,231,195,199,178,196,185,192,177,176,217,194,192,181,192,213,174,189,211,208,225,206,196,195,182,188,209,200,212,
2024-10-25 03:13,Every Second,241.040,12052,188,192,199,184,185,224,215,204,194,206,197,178,191,195,218,198,225,187,207,194,222,190,194,208,204,201,213,191,182,191,193,196,206,224,198,183,192,221,211,219,176,204,201,194,213,184,225,203,208,221,207,190,210,196,181,200,207,218,198,196,
2024-10-25 03:14,Every Second,239.040,11952,192,180,204,197,208,213,201,204,181,197,189,185,181,213,202,185,208,217,206,199,203,198,189,217,204,188,206,196,202,182,193,196,212,200,204,203,228,199,225,191,194,192,204,217,170,189,190,231,177,196,204,200,190,199,197,180,190,208,215,211,
2024-10-25 03:15,Every Second,243.100,12155,198,210,204,190,198,224,186,211,195,241,200,213,206,196,199,192,211,225,206,183,198,210,195,196,223,199,202,195,210,205,209,200,170,196,208,189,182,207,212,237,190,226,217,217,217,211,182,201,210,189,209,194,198,195,210,165,175,192,208,218,
2024-10-25 03:16,Every Second,239.980,11999,202,223,184,203,199,228,226,207,177,208,214,188,188,203,200,202,198,214,185,191,182,193,183,208,198,200,184,178,216,203,209,184,187,222,184,231,220,186,181,199,210,179,191,191,213,190,200,200,216,179,211,189,189,200,214,188,200,215,220,216,
2024-10-25 03:17,Every Second,237.940,11897,199,189,184,192,188,185,234,194,195,188,186,218,196,213,196,213,192,215,191,217,193,197,197,192,201,186,206,201,220,214,202,201,189,182,205,209,210,207,187,182,190,193,166,196,191,186,210,202,211,210,193,186,201,186,204,180,215,208,198,205,
2024-10-25 03:18,Every Second,240.100,12005,231,193,200,209,196,175,199,212,183,225,212,182,176,179,176,190,210,166,222,209,193,174,237,192,195,198,207,197,218,199,189,189,196,198,198,182,207,220,211,205,207,202,191,201,190,186,196,200,211,193,199,227,216,222,211,196,200,191,206,210,
2024-10-25 03:19,Every Second,238.020,11901,200,198,189,182,184,183,172,193,179,179,195,197,212,212,207,184,177,211,217,192,224,203,218,245,171,192,214,220,184,191,193,188,184,211,180,200,205,181,181,208,185,192,207,204,204,179,182,207,215,184,219,215,190,200,200,209,192,208,237,216,
2024-10-25 03:20,Every Second,240.800,12040,202,206,185,182,241,199,197,184,182,208,209,192,180,213,177,204,183,208,172,223,195,218,189,243,188,191,207,209,199,221,199,215,223,206,187,221,200,205,200,202,199,182,178,182,218,187,203,232,197,187,195,196,214,205,189,189,218,186,206,212,
